,Unnamed: 0,mode,price,catch,pbeach,ppier,pboat,pcharter,cbeach,cpier,cboat,ccharter,income,log_income,pdiff
266,267,boat,3.87,0.0014,6.45,6.45,3.87,32.87,0.0678,0.0789,0.0014,0.0029,416.66668,6.0322865736282365,2.58
892,893,beach,3.87,0.5333,3.87,3.87,47.73,82.73,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
361,362,beach,4.122,0.0678,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
261,262,beach,4.122,0.0678,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
362,363,pier,4.122,0.0503,4.122,4.122,4.122,29.122,0.0678,0.0503,0.2601,0.5391,1249.9998,7.130898670296334,0.0
83,84,boat,4.122,0.1574,17.862000000000002,17.862000000000002,4.122,28.122,0.1049,0.0451,0.1574,0.4671,1249.9998,7.130898670296334,13.740000000000002
982,983,boat,4.122,0.6817,53.586000000000006,53.586000000000006,4.122,29.122,0.2537,0.1498,0.6817,2.3014,1249.9998,7.130898670296334,49.464000000000006
1119,1120,beach,4.29,0.5333,4.29,4.29,132.99,167.99,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
340,341,boat,4.29,0.0014,34.32,34.32,4.29,33.29,0.0678,0.0789,0.0014,0.0029,2916.6666,7.978196667826407,30.03
334,335,pier,4.29,0.0503,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666,7.978196667826407,0.0
1120,1121,beach,4.29,0.5333,4.29,4.29,132.99,167.99,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
331,332,boat,4.29,0.0276,4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2916.6666,7.978196667826407,0.0
324,325,beach,4.29,0.0678,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666,7.978196667826407,0.0
321,322,pier,4.29,0.0503,4.29,4.29,4.29,29.29,0.0678,0.0503,0.2601,0.5391,2916.6666,7.978196667826407,0.0
312,313,boat,4.29,0.0051,214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2916.6666,7.978196667826407,210.21
1126,1127,pier,4.29,0.4522,4.29,4.29,132.99,167.99,0.5333,0.4522,0.0156,0.0058,2916.6666,7.978196667826407,0.0
301,302,boat,4.29,0.0023,97.812,97.812,4.29,28.29,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,93.52199999999999
290,291,boat,4.29,0.0051,214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2916.6666,7.978196667826407,210.21
289,290,pier,4.29,0.0789,4.29,4.29,4.29,33.29,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,0.0
258,259,boat,4.29,0.0051,214.5,214.5,4.29,39.29,0.5333,0.4522,0.0051,1.0266,2916.6666,7.978196667826407,210.21
310,311,boat,4.29,0.0276,4.29,4.29,4.29,29.29,0.0678,0.0503,0.0276,0.0029,2916.6666,7.978196667826407,0.0
1101,1102,pier,4.29,0.4522,4.29,4.29,132.99,167.99,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
313,314,boat,5.29,0.0276,5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3749.9999,8.22951109229779,0.0
299,300,boat,5.29,0.2413,264.5,264.5,5.29,40.29,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,259.21
259,260,boat,5.29,0.0156,264.5,264.5,5.29,40.29,0.5333,0.4522,0.0156,0.0058,3749.9999,8.22951109229779,259.21
276,277,boat,5.29,0.0051,264.5,264.5,5.29,40.29,0.5333,0.4522,0.0051,1.0266,3749.9999,8.22951109229779,259.21
337,338,pier,5.29,0.0503,5.29,5.29,5.29,30.29,0.0678,0.0503,0.0276,0.0029,3749.9999,8.22951109229779,0.0
1138,1139,boat,5.29,0.7369,60.306,60.306,5.29,30.29,0.2537,0.1498,0.7369,2.3101,3749.9999,8.22951109229779,55.016
1125,1126,pier,5.29,0.4522,5.29,5.29,163.99,198.99,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,0.0
942,943,boat,5.496,0.6817,32.976,32.976,5.496,30.496,0.2537,0.1498,0.6817,2.3014,1249.9998,7.130898670296334,27.479999999999997
995,996,pier,5.496,0.4522,5.496,5.496,77.86,112.86,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
998,999,boat,5.496,0.0531,32.976,32.976,5.496,30.496,0.2537,0.1498,0.0531,0.0052,1249.9998,7.130898670296334,27.479999999999997
925,926,boat,5.496,0.7369,32.976,32.976,5.496,30.496,0.2537,0.1498,0.7369,2.3101,1249.9998,7.130898670296334,27.479999999999997
655,656,beach,5.496,0.0678,5.496,5.496,24.732,53.732,0.0678,0.0789,0.1643,0.5391,1249.9998,7.130898670296334,0.0
1007,1008,beach,5.496,0.5333,5.496,5.496,77.86,112.86,0.5333,0.4522,0.1665,0.3975,1249.9998,7.130898670296334,0.0
1079,1080,boat,5.496,0.7369,32.976,32.976,5.496,30.496,0.2537,0.1498,0.7369,2.3101,1249.9998,7.130898670296334,27.479999999999997
1091,1092,boat,5.496,0.6817,32.976,32.976,5.496,30.496,0.2537,0.1498,0.6817,2.3014,1249.9998,7.130898670296334,27.479999999999997
1001,1002,pier,5.496,0.4522,5.496,5.496,77.86,112.86,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
645,646,pier,5.496,0.0025,5.496,5.496,24.732,53.732,0.0678,0.0025,0.0499,0.2421,1249.9998,7.130898670296334,0.0
60,61,pier,5.922000000000001,0.0789,5.922000000000001,5.922000000000001,48.692,77.692,0.0678,0.0789,0.0014,0.0029,2083.3332,7.641724390062335,0.0
262,263,pier,5.922000000000001,0.0503,5.922000000000001,5.922000000000001,5.922000000000001,30.922,0.0678,0.0503,0.0276,0.0029,2083.3332,7.641724390062335,0.0
239,240,boat,5.922000000000001,0.0014,32.242,32.242,5.922000000000001,34.922,0.0678,0.0789,0.0014,0.0029,2083.3332,7.641724390062335,26.319999999999997
57,58,boat,5.922000000000001,0.0613,25.662,25.662,5.922000000000001,29.922,0.1049,0.0079,0.0613,0.3087,2083.3332,7.641724390062335,19.74
79,80,boat,5.922000000000001,0.2413,110.544,110.544,5.922000000000001,40.922,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,104.622
51,52,pier,5.922000000000001,0.0789,5.922000000000001,5.922000000000001,48.692,77.692,0.0678,0.0789,0.1643,0.5391,2083.3332,7.641724390062335,0.0
264,265,boat,5.922000000000001,0.0276,5.922000000000001,5.922000000000001,5.922000000000001,30.922,0.0678,0.0503,0.0276,0.0029,2083.3332,7.641724390062335,0.0
229,230,pier,5.922000000000001,0.0503,5.922000000000001,5.922000000000001,5.922000000000001,30.922,0.0678,0.0503,0.2601,0.5391,2083.3332,7.641724390062335,0.0
1098,1099,boat,5.922000000000001,0.6817,76.986,76.986,5.922000000000001,30.922,0.2537,0.1498,0.6817,2.3014,2083.3332,7.641724390062335,71.06400000000001
603,604,beach,5.934,0.0678,5.934,5.934,7.74,36.74,0.0678,0.0789,0.0014,0.0029,416.66668,6.0322865736282365,0.0
1133,1134,boat,6.29,0.6817,71.706,71.706,6.29,31.29,0.2537,0.1498,0.6817,2.3014,4583.332,8.430181523517474,65.416
1122,1123,beach,6.29,0.5333,6.29,6.29,194.99,229.99,0.5333,0.4522,0.1665,0.3975,4583.332,8.430181523517474,0.0
1117,1118,pier,6.29,0.4522,6.29,6.29,194.99,229.99,0.5333,0.4522,0.0156,0.0058,4583.332,8.430181523517474,0.0
1114,1115,beach,6.29,0.5333,6.29,6.29,194.99,229.99,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,0.0
1102,1103,boat,6.29,0.0531,71.706,71.706,6.29,31.29,0.2537,0.1498,0.0531,0.0052,4583.332,8.430181523517474,65.416
1014,1015,pier,6.29,0.4522,6.29,6.29,194.99,229.99,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,0.0
1152,1153,boat,6.29,0.0531,71.706,71.706,6.29,31.29,0.2537,0.1498,0.0531,0.0052,4583.332,8.430181523517474,65.416
231,232,pier,6.29,0.0789,6.29,6.29,6.29,35.29,0.0678,0.0789,0.1643,0.5391,4583.332,8.430181523517474,0.0
1140,1141,boat,6.29,0.6817,71.706,71.706,6.29,31.29,0.2537,0.1498,0.6817,2.3014,4583.332,8.430181523517474,65.416
317,318,boat,6.29,0.2601,6.29,6.29,6.29,31.29,0.0678,0.0503,0.2601,0.5391,4583.332,8.430181523517474,0.0
1144,1145,pier,6.29,0.4522,6.29,6.29,194.99,229.99,0.5333,0.4522,0.2413,1.0266,4583.332,8.430181523517474,0.0
329,330,boat,6.29,0.1491,6.29,6.29,6.29,31.29,0.0678,0.0052,0.1491,0.2421,4583.332,8.430181523517474,0.0
1139,1140,boat,6.29,0.6817,71.706,71.706,6.29,31.29,0.2537,0.1498,0.6817,2.3014,4583.332,8.430181523517474,65.416
1150,1151,boat,6.29,0.6817,71.706,71.706,6.29,31.29,0.2537,0.1498,0.6817,2.3014,4583.332,8.430181523517474,65.416
332,333,boat,6.29,0.0276,6.29,6.29,6.29,31.29,0.0678,0.0503,0.0276,0.0029,4583.332,8.430181523517474,0.0
269,270,pier,6.58,0.0503,6.58,6.58,6.58,31.58,0.0678,0.0503,0.2601,0.5391,2083.3332,7.641724390062335,0.0
268,269,boat,6.58,0.1491,6.58,6.58,6.58,31.58,0.0678,0.0052,0.1491,0.2421,2083.3332,7.641724390062335,0.0
253,254,boat,6.58,0.0031,6.58,6.58,6.58,31.58,0.0678,0.0503,0.0031,0.0041,2083.3332,7.641724390062335,0.0
917,918,boat,6.87,0.0531,39.846,39.846,6.87,31.87,0.2537,0.1498,0.0531,0.0052,1249.9998,7.130898670296334,32.976
906,907,boat,6.87,0.0531,39.846,39.846,6.87,31.87,0.2537,0.1498,0.0531,0.0052,1249.9998,7.130898670296334,32.976
1039,1040,boat,6.87,0.0531,39.846,39.846,6.87,31.87,0.2537,0.1498,0.0531,0.0052,1249.9998,7.130898670296334,32.976
1040,1041,boat,6.87,0.6817,39.846,39.846,6.87,31.87,0.2537,0.1498,0.6817,2.3014,1249.9998,7.130898670296334,32.976
905,906,pier,6.87,0.4522,6.87,6.87,84.73,119.73,0.5333,0.4522,0.2413,1.0266,1249.9998,7.130898670296334,0.0
856,857,boat,6.87,0.0143,80.608,80.608,6.87,36.37,0.0678,0.0503,0.0143,0.0289,1249.9998,7.130898670296334,73.738
854,855,boat,6.87,0.0732,80.608,80.608,6.87,36.37,0.0678,0.0052,0.0732,0.1726,1249.9998,7.130898670296334,73.738
819,820,beach,6.87,0.2537,6.87,6.87,29.77,48.27,0.2537,0.1498,0.0233,0.0219,1249.9998,7.130898670296334,0.0
815,816,boat,6.87,0.0143,80.608,80.608,6.87,36.37,0.0678,0.0503,0.0143,0.0289,1249.9998,7.130898670296334,73.738
802,803,boat,6.87,0.0102,42.594,42.594,6.87,41.87,0.0678,0.0789,0.0102,0.0209,1249.9998,7.130898670296334,35.724000000000004
704,705,pier,6.87,0.1498,6.87,6.87,22.9,41.4,0.2537,0.1498,0.0233,0.0219,1249.9998,7.130898670296334,0.0
326,327,boat,7.29,0.2601,7.29,7.29,7.29,32.29,0.0678,0.0503,0.2601,0.5391,5416.6667,8.59723590524362,0.0
70,71,boat,7.722,0.0023,33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,25.740000000000002
81,82,beach,7.722,0.0678,7.722,7.722,63.492,92.492,0.0678,0.0789,0.0014,0.0029,2916.6666,7.978196667826407,0.0
32,33,boat,7.722,0.0023,33.462,33.462,7.722,31.722,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,25.740000000000002
1056,1057,pier,7.896,0.4522,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
1009,1010,beach,7.896,0.5333,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
1047,1048,pier,7.896,0.4522,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
650,651,boat,7.896,0.1574,42.112,42.112,7.896,31.896,0.1049,0.0451,0.1574,0.4671,2083.3332,7.641724390062335,34.216
933,934,beach,7.896,0.5333,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
564,565,boat,7.896,0.0023,42.112,42.112,7.896,31.896,0.1049,0.0451,0.0023,0.0046,2083.3332,7.641724390062335,34.216
923,924,pier,7.896,0.4522,7.896,7.896,111.86,146.86,0.5333,0.4522,0.0156,0.0058,2083.3332,7.641724390062335,0.0
926,927,boat,7.896,0.6817,47.376000000000005,47.376000000000005,7.896,32.896,0.2537,0.1498,0.6817,2.3014,2083.3332,7.641724390062335,39.480000000000004
929,930,boat,7.896,0.7369,47.376000000000005,47.376000000000005,7.896,32.896,0.2537,0.1498,0.7369,2.3101,2083.3332,7.641724390062335,39.480000000000004
986,987,pier,7.896,0.4522,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
988,989,boat,7.896,0.6817,47.376000000000005,47.376000000000005,7.896,32.896,0.2537,0.1498,0.6817,2.3014,2083.3332,7.641724390062335,39.480000000000004
1053,1054,pier,7.896,0.4522,7.896,7.896,111.86,146.86,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
978,979,beach,7.997999999999999,0.5333,7.997999999999999,7.997999999999999,51.858,86.85799999999999,0.5333,0.4522,0.2413,1.0266,416.66668,6.0322865736282365,0.0
1127,1128,boat,8.29,0.7369,94.506,94.506,8.29,33.29,0.2537,0.1498,0.7369,2.3101,6250.0013,8.740336950730425,86.21600000000001
345,346,boat,8.29,0.0276,8.29,8.29,8.29,33.29,0.0678,0.0503,0.0276,0.0029,6250.0013,8.740336950730425,0.0
1103,1104,pier,8.29,0.4522,8.29,8.29,256.99,291.99,0.5333,0.4522,0.2413,1.0266,6250.0013,8.740336950730425,0.0
325,326,boat,8.29,0.2601,8.29,8.29,8.29,33.29,0.0678,0.0503,0.2601,0.5391,6250.0013,8.740336950730425,0.0
303,304,beach,8.29,0.0678,8.29,8.29,8.29,33.29,0.0678,0.0503,0.2601,0.5391,6250.0013,8.740336950730425,0.0
283,284,boat,8.29,0.0613,189.012,189.012,8.29,32.29,0.1049,0.0079,0.0613,0.3087,6250.0013,8.740336950730425,180.722
248,249,pier,8.58,0.0503,8.58,8.58,8.58,33.58,0.0678,0.0503,0.2601,0.5391,2916.6666,7.978196667826407,0.0
307,308,boat,8.58,0.0276,8.58,8.58,8.58,33.58,0.0678,0.0503,0.0276,0.0029,2916.6666,7.978196667826407,0.0
1123,1124,beach,9.29,0.5333,9.29,9.29,287.99,322.99,0.5333,0.4522,0.2413,1.0266,7083.3317,8.86549965509619,0.0
342,343,boat,9.29,0.2601,9.29,9.29,9.29,34.29,0.0678,0.0503,0.2601,0.5391,7083.3317,8.86549965509619,0.0
33,34,beach,9.522,0.0678,9.522,9.522,78.292,107.292,0.0678,0.0789,0.0014,0.0029,3749.9999,8.22951109229779,0.0
983,984,boat,9.522,0.0531,123.786,123.786,9.522,34.522,0.2537,0.1498,0.0531,0.0052,3749.9999,8.22951109229779,114.264
63,64,boat,9.522,0.1574,41.262,41.262,9.522,33.522,0.1049,0.0451,0.1574,0.4671,3749.9999,8.22951109229779,31.740000000000002
52,53,boat,9.522,0.2413,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,168.22200000000004
66,67,boat,9.522,0.2413,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.2413,1.0266,3749.9999,8.22951109229779,168.22200000000004
75,76,beach,9.522,0.0678,9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
237,238,beach,9.522,0.0678,9.522,9.522,9.522,34.522,0.0678,0.0503,0.2601,0.5391,3749.9999,8.22951109229779,0.0
82,83,boat,9.522,0.1665,177.74400000000003,177.74400000000003,9.522,44.522,0.5333,0.4522,0.1665,0.3975,3749.9999,8.22951109229779,168.22200000000004
242,243,beach,9.522,0.0678,9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3749.9999,8.22951109229779,0.0
64,65,pier,9.522,0.0789,9.522,9.522,78.292,107.292,0.0678,0.0789,0.1643,0.5391,3749.9999,8.22951109229779,0.0
240,241,pier,9.522,0.0503,9.522,9.522,9.522,34.522,0.0678,0.0503,0.0276,0.0029,3749.9999,8.22951109229779,0.0
881,882,beach,9.87,0.5333,9.87,9.87,121.73,156.73,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
845,846,boat,9.87,0.1082,115.808,115.808,9.87,39.37,0.0678,0.0503,0.1082,0.324,2083.3332,7.641724390062335,105.938
836,837,boat,9.87,0.0143,115.808,115.808,9.87,39.37,0.0678,0.0503,0.0143,0.0289,2083.3332,7.641724390062335,105.938
664,665,boat,9.87,0.0102,52.64,52.64,9.87,44.87,0.0678,0.0789,0.0102,0.0209,2083.3332,7.641724390062335,42.77
804,805,boat,9.87,0.0143,115.808,115.808,9.87,39.37,0.0678,0.0503,0.0143,0.0289,2083.3332,7.641724390062335,105.938
775,776,pier,9.87,0.1498,9.87,9.87,32.9,51.4,0.2537,0.1498,0.0233,0.0219,2083.3332,7.641724390062335,0.0
774,775,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.0233,0.0219,2083.3332,7.641724390062335,0.0
675,676,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
708,709,beach,9.87,0.2537,9.87,9.87,42.77,61.27,0.2537,0.1498,0.0233,0.0219,2083.3332,7.641724390062335,0.0
709,710,pier,9.87,0.1498,9.87,9.87,42.77,61.27,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
756,757,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
754,755,boat,9.87,0.0897,52.64,52.64,9.87,44.87,0.0678,0.0789,0.0897,1.0905,2083.3332,7.641724390062335,42.77
745,746,boat,9.87,0.0143,100.016,100.016,9.87,39.37,0.0678,0.0503,0.0143,0.0289,2083.3332,7.641724390062335,90.146
747,748,pier,9.87,0.1498,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
746,747,pier,9.87,0.1498,9.87,9.87,32.9,51.4,0.2537,0.1498,0.0233,0.0219,2083.3332,7.641724390062335,0.0
769,770,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
884,885,beach,9.87,0.5333,9.87,9.87,121.73,156.73,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
659,660,beach,9.87,0.2537,9.87,9.87,32.9,51.4,0.2537,0.1498,0.2339,0.6288,2083.3332,7.641724390062335,0.0
918,919,boat,9.87,0.0531,57.246,57.246,9.87,34.87,0.2537,0.1498,0.0531,0.0052,2083.3332,7.641724390062335,47.376000000000005
900,901,boat,9.87,0.0531,57.246,57.246,9.87,34.87,0.2537,0.1498,0.0531,0.0052,2083.3332,7.641724390062335,47.376000000000005
913,914,pier,9.87,0.4522,9.87,9.87,121.73,156.73,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
979,980,pier,9.87,0.4522,9.87,9.87,121.73,156.73,0.5333,0.4522,0.0156,0.0058,2083.3332,7.641724390062335,0.0
897,898,pier,9.87,0.4522,9.87,9.87,121.73,156.73,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
893,894,boat,9.87,0.6817,57.246,57.246,9.87,34.87,0.2537,0.1498,0.6817,2.3014,2083.3332,7.641724390062335,47.376000000000005
903,904,pier,9.87,0.4522,9.87,9.87,121.73,156.73,0.5333,0.4522,0.2413,1.0266,2083.3332,7.641724390062335,0.0
1132,1133,boat,10.29,0.7369,117.306,117.306,10.29,35.29,0.2537,0.1498,0.7369,2.3101,7916.6663,8.976725474478886,107.01599999999999
544,545,boat,10.296,0.0613,54.912,54.912,10.296,34.296,0.1049,0.0079,0.0613,0.3087,2916.6666,7.978196667826407,44.616
940,941,boat,10.296,0.6817,61.776,61.776,10.296,35.296,0.2537,0.1498,0.6817,2.3014,2916.6666,7.978196667826407,51.480000000000004
545,546,boat,10.296,0.0361,157.872,157.872,10.296,45.29600000000001,0.5333,0.0069,0.0361,0.4216,2916.6666,7.978196667826407,147.57600000000002
994,995,pier,10.296,0.4522,10.296,10.296,145.86,180.86,0.5333,0.4522,0.1665,0.3975,2916.6666,7.978196667826407,0.0
565,566,boat,10.296,0.2413,157.872,157.872,10.296,45.29600000000001,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,147.57600000000002
1080,1081,pier,10.296,0.4522,10.296,10.296,145.86,180.86,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
1074,1075,boat,10.296,0.7369,61.776,61.776,10.296,35.296,0.2537,0.1498,0.7369,2.3101,2916.6666,7.978196667826407,51.480000000000004
1049,1050,boat,10.296,0.7369,61.776,61.776,10.296,35.296,0.2537,0.1498,0.7369,2.3101,2916.6666,7.978196667826407,51.480000000000004
574,575,boat,10.296,0.0023,54.912,54.912,10.296,34.296,0.1049,0.0451,0.0023,0.0046,2916.6666,7.978196667826407,44.616
939,940,boat,10.296,0.7369,61.776,61.776,10.296,35.296,0.2537,0.1498,0.7369,2.3101,2916.6666,7.978196667826407,51.480000000000004
937,938,beach,10.296,0.5333,10.296,10.296,145.86,180.86,0.5333,0.4522,0.2413,1.0266,2916.6666,7.978196667826407,0.0
999,1000,boat,10.296,0.6817,61.776,61.776,10.296,35.296,0.2537,0.1498,0.6817,2.3014,2916.6666,7.978196667826407,51.480000000000004
654,655,pier,10.296,0.0789,10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,0.0
649,650,beach,10.296,0.0678,10.296,10.296,46.332,75.332,0.0678,0.0789,0.1643,0.5391,2916.6666,7.978196667826407,0.0
